Quantity view,,,,,,,,,,,,,,,
,,,,,AdipicAcid_RoW,Nylon66_RoW,HMDA_DE,HMDA_Glo,Nylon6_RoW,SebacicAcid_BestCaseCN,SebacicAcid_WorstCaseCN,AdipicAcid_Bio,AdipicAcid_Reduct,AdipicAcid_average,SebacicAcid_average
,,,,ReCiPe 2016 v1.1 Midpoint (H) - Metal depletion [kg Cu eq.],0.009331371,0.000336202,0.016828741,0.002878672,0.000242504,0.000905,0.002194764,0,0.009331371,0.009331371,0.001549882
,,,,"ReCiPe 2016 v1.1 Midpoint (H) - Photochemical Ozone Formation, Ecosystems [kg NOx eq.]",0.037775221,0.018511569,4.722973486,0.017564284,0.026511081,2.34,3.859769026,0,0.037775221,0.037775221,3.099884513
,,,,"ReCiPe 2016 v1.1 Midpoint (H) - Photochemical Ozone Formation, Human Health [kg NOx eq.]",0.028699166,1.66E-02,2.94E+00,0.013596388,0.023536331,1.46,2.403564207,0,0.028699166,0.028699166,1.931782104
,,,,ReCiPe 2016 v1.1 Midpoint (H) - Stratospheric Ozone Depletion [kg CFC-11 eq.],0.000703658,8.11E-06,5.29E-05,9.14E-07,9.47E-05,2.47E-05,4.98E-05,0,0.000703658,0.000703658,0.00003725
,,,,ReCiPe 2016 v1.1 Midpoint (H) - Terrestrial Acidification [kg SO2 eq.],0.030819086,0.024107616,9.66E-03,0.018597317,0.023798915,0.0423,0.076645063,0,0.030819086,0.030819086,0.059472532
,,,,"ReCiPe 2016 v1.1 Midpoint (H) - Terrestrial ecotoxicity [kg 1,4-DB eq.]",10.84847359,0.211444522,7.17E+01,4.416443407,0.339909938,4.5,6.731767867,0,10.84847359,10.84847359,5.615883934
,,,ReCiPe 2016 v1.1 (I),ReCiPe 2016 v1.1 (I),0,0,0,0,0,,0,,,,
,,TRACI 2.1,TRACI 2.1,TRACI 2.1,0,0,0,0,0,,0,,,,
,,UBP 2013,UBP 2013,UBP 2013,0,0,0,0,0,,0,,,,
,,USEtox 2.1,USEtox 2.1,USEtox 2.1,0,0,0,0,0,,0,,,,
,,Water,Water,Water,0,0,0,0,0,0,0,,,,
,SoFi quantities,SoFi quantities,SoFi quantities,SoFi quantities,0,0,0,0,0,0,0,,,,
,Technical quantities,Technical quantities,Technical quantities,Technical quantities,0,0,0,0,0,,,,,,
